session_id,user_id,start_time,end_time,event_count,event_types,event_properties,session_duration,button_click,form_submit,page_load,max,mean,std,first_event,last_event
004212b2-25cd-41c9-b2d0-597256e6493f,user_24,2025-10-04 06:40:18.668788,2025-10-04 07:45:18.668795,6,"['button_click', 'button_click', 'form_submit', 'form_submit', 'page_load', 'page_load']","[{'button_id': 'search'}, {'button_id': 'submit'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/profile'}, {'page': '/apply'}]",3900.000007,2.0,2.0,2.0,3900.000007,396.00020520000004,2463.8748512499646,button_click,page_load
00b7ae1f-2b0e-47a8-b93d-2b73d47843ae,user_43,2025-10-04 06:42:18.668069,2025-10-04 07:37:18.667701,3,"['page_load', 'form_submit', 'button_click']","[{'page': '/dashboard'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'button_id': 'apply'}]",3299.999632,1.0,1.0,1.0,-1079.99972,-1649.999816,806.1018663171664,button_click,page_load
0147a2d8-923e-4ab6-851d-c3786175469f,user_27,2025-10-04 07:46:18.667497,2025-10-04 07:46:18.667497,1,['button_click'],[{'button_id': 'apply'}],0.0,1.0,0.0,0.0,0.0,0.0,0.0,button_click,button_click
0533b46a-2f39-4f43-ac1e-026c1bc01a3a,user_39,2025-10-04 06:48:18.669109,2025-10-04 08:26:18.668928,5,"['form_submit', 'form_submit', 'form_submit', 'page_load', 'button_click']","[{'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/profile'}, {'button_id': 'search'}]",5879.999819,1.0,3.0,1.0,5160.000197,-1274.99962975,4630.8638126736205,page_load,form_submit
072dea52-f6ca-44b5-a4b2-59133a6f3f9d,user_19,2025-10-04 07:18:18.668502,2025-10-04 08:13:18.668427,6,"['button_click', 'page_load', 'form_submit', 'page_load', 'button_click', 'button_click']","[{'button_id': 'submit'}, {'page': '/profile'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/apply'}, {'button_id': 'submit'}, {'button_id': 'search'}]",3299.999925,3.0,1.0,2.0,1560.000179,-287.9997716,1410.5744024751436,button_click,page_load
07d42265-a3bf-452f-af9d-ce3f3813ee1c,user_39,2025-10-04 06:38:18.668118,2025-10-04 08:02:18.668319,8,"['button_click', 'form_submit', 'form_submit', 'page_load', 'page_load', 'form_submit', 'form_submit', 'button_click']","[{'button_id': 'search'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/profile'}, {'page': '/jobs'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'button_id': 'search'}]",5040.000201,2.0,4.0,2.0,5040.000201,377.14307957142853,3165.5736702152485,page_load,form_submit
088bb43f-9720-44e2-9e4b-8f5523de0784,user_8,2025-10-04 06:42:18.668641,2025-10-04 08:34:18.668048,5,"['form_submit', 'form_submit', 'form_submit', 'form_submit', 'button_click']","[{'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'button_id': 'cancel'}]",6719.999407,1.0,4.0,0.0,3780.00006,-914.9997685000001,4367.619256897293,form_submit,form_submit
0a0125b8-c273-449a-b96e-77fc44c9555c,user_47,2025-10-04 06:50:18.667974,2025-10-04 08:32:18.669283,4,"['page_load', 'button_click', 'page_load', 'page_load']","[{'page': '/apply'}, {'button_id': 'cancel'}, {'page': '/home'}, {'page': '/dashboard'}]",6120.001309,1.0,0.0,3.0,3900.000335,880.0005783333335,3868.1779250055342,button_click,page_load
0bdb1c67-0890-499e-97d2-82d30d9c6fd7,user_34,2025-10-04 06:39:18.667856,2025-10-04 08:07:18.668807,6,"['page_load', 'form_submit', 'page_load', 'form_submit', 'page_load', 'page_load']","[{'page': '/home'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/apply'}, {'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'page': '/profile'}, {'page': '/home'}]",5280.000951,0.0,2.0,4.0,3180.000425,504.0002106,2205.60207351508,page_load,page_load
0ce02579-9f66-4169-b36f-9081733dd9c4,user_14,2025-10-04 07:23:18.668143,2025-10-04 08:03:18.667821,2,"['form_submit', 'button_click']","[{'form_id': 'application_form', 'fields_filled': {'experience': '3 years'}}, {'button_id': 'apply'}]",2399.999678,1.0,1.0,0.0,-2399.999678,-2399.999678,0.0,button_click,form_submit
